route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00005,N,00005_B_N_2015,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1442,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1330,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_0749,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1322,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_2210,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_2058,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1802,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0635,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_0953,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1702,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1559,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0903,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1338,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_2049,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1402,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1954,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_B_N_1149,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1010,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_0858,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1629,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_2309,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1738,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1506,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_0935,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1735,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_0522,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
